timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-12-11,162.68,163.65,161.95,163.51,163.51,6077207,0.0000,1.0
2023-12-08,160.0,162.04,160.0,161.96,161.96,4561342,0.0000,1.0
2023-12-07,161.0,161.465,159.97,160.22,160.22,3665498,0.0000,1.0
2023-12-06,161.59,162.355,160.01,160.28,160.28,3356432,0.0000,1.0
2023-12-05,160.76,162.47,160.72,161.39,161.39,4556668,0.0000,1.0
2023-12-04,160.29,162.79,160.29,161.1,161.1,5779017,0.0000,1.0
2023-12-01,158.41,160.59,158.0,160.55,160.55,4871860,0.0000,1.0
2023-11-30,156.95,158.6,156.89,158.56,158.56,6740622,0.0000,1.0
2023-11-29,156.15,157.51,156.02,156.41,156.41,3568887,0.0000,1.0
2023-11-28,155.44,155.745,154.86,155.65,155.65,2666182,0.0000,1.0
2023-11-27,154.99,156.135,154.75,155.57,155.57,4053093,0.0000,1.0
2023-11-24,155.13,155.4,153.92,155.18,155.18,1799161,0.0000,1.0
2023-11-22,154.5,155.705,154.16,155.13,155.13,3045091,0.0000,1.0
2023-11-21,154.6,154.66,153.51,153.91,153.91,2859508,0.0000,1.0
2023-11-20,152.51,154.68,152.35,154.35,154.35,3658936,0.0000,1.0
2023-11-17,153.29,153.5,152.4601,152.89,152.89,4426676,0.0000,1.0
2023-11-16,153.0,153.35,152.13,153.06,153.06,3519172,0.0000,1.0
2023-11-15,150.4,153.22,150.4,152.58,152.58,4632519,0.0000,1.0
2023-11-14,149.45,150.8063,149.05,150.41,150.41,4321940,0.0000,1.0
2023-11-13,148.46,148.49,147.35,148.1,148.1,2647288,0.0000,1.0
2023-11-10,147.44,149.17,146.85,149.02,149.02,3179541,0.0000,1.0
2023-11-09,146.55,146.99,145.28,146.62,146.62,3412713,1.6600,1.0
2023-11-08,149.25,149.68,147.585,148.03,146.372798759104,3618588,0.0000,1.0
2023-11-07,149.03,149.28,148.03,148.83,147.16384272997,3549853,0.0000,1.0
2023-11-06,147.89,149.225,147.85,148.97,147.302275424872,4597249,0.0000,1.0
2023-11-03,147.45,148.445,147.28,147.9,146.244254113839,3510495,0.0000,1.0
2023-11-02,145.77,147.1,144.84,147.01,145.36421769625,3902657,0.0000,1.0
2023-11-01,145.0,146.51,144.45,145.4,143.772241704883,4750081,0.0000,1.0
2023-10-31,143.0,144.76,142.59,144.64,143.02074993256,6592041,0.0000,1.0
2023-10-30,143.19,144.5,142.58,142.63,141.033251955759,4204190,0.0000,1.0
2023-10-27,143.62,144.7,141.71,142.52,140.924483409765,5469227,0.0000,1.0
2023-10-26,142.2,144.41,141.58,143.76,142.150601564607,11130170,0.0000,1.0
2023-10-25,137.5,138.49,136.33,137.08,135.545384407877,6472549,0.0000,1.0
2023-10-24,136.74,137.98,136.05,137.79,136.24743593202,3697975,0.0000,1.0
2023-10-23,136.63,137.68,135.87,136.38,134.853220933369,3457527,0.0000,1.0
2023-10-20,138.15,139.27,137.12,137.16,135.624488804964,4865615,0.0000,1.0
2023-10-19,138.64,139.405,137.93,138.01,136.464973024009,5314159,0.0000,1.0
2023-10-18,140.0,140.43,139.58,139.97,138.40303075263,3329985,0.0000,1.0
2023-10-17,137.12,140.62,136.31,140.32,138.749112489884,4172822,0.0000,1.0
2023-10-16,139.28,139.78,138.52,139.21,137.651538980308,3361468,0.0000,1.0
2023-10-13,139.77,140.12,138.27,138.46,136.909935257621,4583553,0.0000,1.0
2023-10-12,142.51,142.93,140.95,141.24,139.65881305638,3921142,0.0000,1.0
2023-10-11,142.51,143.34,142.14,143.23,141.626534933909,2511459,0.0000,1.0
2023-10-10,142.6,143.415,141.72,142.11,140.519073374697,3015784,0.0000,1.0
2023-10-09,142.3,142.4,140.68,142.2,140.608065821419,2354396,0.0000,1.0
2023-10-06,141.4,142.94,140.11,142.03,140.43996897761,3511347,0.0000,1.0
2023-10-05,140.9,141.7,140.19,141.52,139.935678446183,3223910,0.0000,1.0
2023-10-04,140.37,141.2004,139.99,141.07,139.490716212571,2637779,0.0000,1.0
2023-10-03,140.87,141.64,140.0,140.39,138.818328837335,3284421,0.0000,1.0
2023-10-02,140.04,141.45,139.86,140.8,139.223738872404,3275461,0.0000,1.0
2023-09-29,142.0,142.13,139.61,140.3,138.729336390612,5703983,0.0000,1.0
2023-09-28,142.14,142.282,140.205,141.58,139.995006743998,5783422,0.0000,1.0
2023-09-27,143.67,143.82,141.76,143.17,141.567206636094,4439121,0.0000,1.0
2023-09-26,145.51,146.17,143.0201,143.24,141.636422983545,4824654,0.0000,1.0
2023-09-25,146.57,147.43,146.25,146.48,144.840151065552,2694245,0.0000,1.0
2023-09-22,147.41,148.1,146.82,146.91,145.265337199892,2562216,0.0000,1.0
2023-09-21,149.0,149.25,147.31,147.38,145.730075532776,4944786,0.0000,1.0
2023-09-20,148.36,151.9299,148.13,149.83,148.152647693553,9636681,0.0000,1.0
2023-09-19,145.0,146.72,144.66,146.52,144.879703264095,3945423,0.0000,1.0
2023-09-18,145.77,146.48,145.06,145.09,143.465712166172,2508062,0.0000,1.0
2023-09-15,147.11,147.85,145.53,145.99,144.355636633396,6234033,0.0000,1.0
2023-09-14,147.38,147.73,146.48,147.35,145.700411383868,2723200,0.0000,1.0
2023-09-13,145.95,146.98,145.92,146.55,144.909367413002,2627999,0.0000,1.0
2023-09-12,147.92,148.0,145.8,146.3,144.662166172107,4457695,0.0000,1.0
2023-09-11,148.57,148.78,147.58,148.38,146.718880496358,3273720,0.0000,1.0
2023-09-08,147.35,148.59,147.26,147.68,146.026717021851,3722927,0.0000,1.0
2023-09-07,148.13,148.78,147.4,147.52,145.868508227677,3333040,0.0000,1.0
2023-09-06,147.66,148.33,147.12,148.06,146.402462908012,2932203,0.0000,1.0
2023-09-05,147.91,149.0,147.5719,148.13,146.471679255463,3731281,0.0000,1.0
2023-09-01,147.26,148.1,146.92,147.94,146.283806312382,2727796,0.0000,1.0
2023-08-31,146.94,147.7275,146.54,146.83,145.186232802806,3885949,0.0000,1.0
2023-08-30,146.42,146.92,145.7452,146.86,145.215896951713,2245402,0.0000,1.0
2023-08-29,146.3,146.73,145.62,146.45,144.810486916644,2778113,0.0000,1.0
2023-08-28,145.41,146.74,145.21,146.02,144.385300782304,3561347,0.0000,1.0
2023-08-25,144.18,145.47,143.5,145.35,143.722801456704,3660147,0.0000,1.0
2023-08-24,143.505,144.47,143.22,143.55,141.942952522255,2900244,0.0000,1.0
2023-08-23,141.72,143.475,141.58,143.41,141.804519827354,2559083,0.0000,1.0
2023-08-22,142.66,143.225,141.3,141.49,139.906014297275,3557734,0.0000,1.0
2023-08-21,141.42,142.39,141.11,142.28,140.687170218506,2937781,0.0000,1.0
2023-08-18,140.0,141.83,139.76,141.41,139.826909900189,3915480,0.0000,1.0
2023-08-17,141.01,142.66,140.6,140.66,139.085306177502,3742058,0.0000,1.0
2023-08-16,141.7,142.09,140.56,140.64,139.06553007823,3285347,0.0000,1.0
2023-08-15,141.5,142.31,141.2,141.87,140.281760183437,3656559,0.0000,1.0
2023-08-14,143.05,143.365,141.802,141.91,140.32131238198,4226563,0.0000,1.0
2023-08-11,143.12,143.45,142.205,143.12,141.517766387915,2526433,0.0000,1.0
2023-08-10,143.04,144.58,142.69,143.25,141.64631103318,4735763,0.0000,1.0
2023-08-09,144.94,144.94,142.3,142.49,140.894819260858,4073038,1.6600,1.0
2023-08-08,145.7,146.15,144.11,145.91,142.615075118639,4654582,0.0000,1.0
2023-08-07,145.0,146.5,144.93,146.18,142.878978005912,3438654,0.0000,1.0
2023-08-04,145.09,146.09,143.99,144.24,140.982786889949,4223204,0.0000,1.0
2023-08-03,143.78,145.22,143.3116,144.45,141.188044691161,3952640,0.0000,1.0
2023-08-02,142.78,144.3,142.31,144.17,140.914367622878,4959381,0.0000,1.0
2023-08-01,144.25,144.48,142.17,143.33,140.093336418028,4798703,0.0000,1.0
2023-07-31,143.81,144.605,143.53,144.18,140.924141803888,6138902,0.0000,1.0
2023-07-28,143.44,143.95,142.85,143.45,140.21062659015,6686627,0.0000,1.0
2023-07-27,142.3,143.38,141.9,142.97,139.741465901664,6331563,0.0000,1.0
2023-07-26,140.44,141.25,139.88,141.07,137.884371509741,4046441,0.0000,1.0
2023-07-25,139.42,140.43,139.0403,140.33,137.161082114993,3770813,0.0000,1.0
2023-07-24,139.35,140.12,138.7788,139.54,136.388921815193,3475442,0.0000,1.0
2023-07-21,138.21,139.7799,137.76,138.94,135.802470954586,5858741,0.0000,1.0
